Player,Team,Pass Targets,Receptions,Catch Percentage,Passing Yards,Passing Touchdowns,Target Percentage,Red Zone Targets,Red Zone Receptions,Red Zone Catch Percentage,Red Zone Yards,Red Zone Touchdowns,Red Zone Target Percentage,Player Link
CeeDee Lamb,DAL,12,8,0.6667000000000001,52,4,0.179,6,4,0.6667000000000001,17,3,0.171,All CeeDee Lamb red zone receiving plays
DeVonta Smith,PHI,12,7,0.5832999999999999,64,5,0.255,4,3,0.75,18,3,0.2,All DeVonta Smith red zone receiving plays
Courtland Sutton,DEN,12,4,0.3333,30,1,0.245,6,1,0.16670000000000001,5,1,0.222,All Courtland Sutton red zone receiving plays
Jordan Akins,HOU,11,6,0.5455,55,3,0.16699999999999998,3,2,0.6667000000000001,7,1,0.12,All Jordan Akins red zone receiving plays
Noah Brown,DAL,11,7,0.6364,48,3,0.16399999999999998,5,3,0.6,14,2,0.14300000000000002,All Noah Brown red zone receiving plays
Mack Hollins,LVR,11,5,0.4545,34,2,0.159,7,3,0.4286,17,2,0.212,All Mack Hollins red zone receiving plays
Juwan Johnson,NOR,11,7,0.6364,73,5,0.18,4,3,0.75,13,2,0.19,All Juwan Johnson red zone receiving plays
Marvin Jones,JAX,11,6,0.5455,66,3,0.145,5,3,0.6,26,2,0.156,All Marvin Jones red zone receiving plays
Alvin Kamara,NOR,11,7,0.6364,41,1,0.18,1,1,1.0,5,0,0.048,All Alvin Kamara red zone receiving plays
Cooper Kupp,LAR,11,8,0.7273000000000001,56,4,0.16699999999999998,6,4,0.6667000000000001,15,3,0.154,All Cooper Kupp red zone receiving plays
Isaiah Likely,BAL,11,6,0.5455,36,2,0.157,7,3,0.4286,22,2,0.24100000000000002,All Isaiah Likely red zone receiving plays
Terry McLaurin,WAS,11,8,0.7273000000000001,69,3,0.204,3,3,1.0,14,1,0.107,All Terry McLaurin red zone receiving plays
Chris Moore,HOU,11,5,0.4545,33,2,0.16699999999999998,2,1,0.5,4,0,0.08,All Chris Moore red zone receiving plays
Marquez Valdes-Scantling,KAN,11,3,0.2727,29,2,0.10300000000000001,5,1,0.2,4,1,0.078,All Marquez Valdes-Scantling red zone receiving plays
Darren Waller,LVR,11,4,0.3636,28,1,0.159,7,2,0.2857,9,1,0.212,All Darren Waller red zone receiving plays
Marquise Brown,ARI,10,5,0.5,30,1,0.16399999999999998,2,1,0.5,6,1,0.071,All Marquise Brown red zone receiving plays
Brandin Cooks,HOU,10,7,0.7,54,3,0.152,4,1,0.25,6,1,0.16,All Brandin Cooks red zone receiving plays
Dalvin Cook,MIN,10,5,0.5,34,1,0.102,4,3,0.75,13,0,0.077,All Dalvin Cook red zone receiving plays
Pat Freiermuth,PIT,10,4,0.4,26,2,0.179,6,2,0.3333,18,2,0.207,All Pat Freiermuth red zone receiving plays
Mecole Hardman,KAN,10,8,0.8,52,4,0.09300000000000001,6,5,0.8332999999999999,22,4,0.094,All Mecole Hardman red zone receiving plays
Tee Higgins,CIN,10,5,0.5,41,4,0.115,4,3,0.75,19,3,0.114,All Tee Higgins red zone receiving plays
Jerry Jeudy,DEN,10,6,0.6,39,4,0.204,6,4,0.6667000000000001,21,3,0.222,All Jerry Jeudy red zone receiving plays
Cole Kmet,CHI,10,8,0.8,60,6,0.27,5,3,0.6,20,3,0.294,All Cole Kmet red zone receiving plays
D.J. Moore,CAR,10,5,0.5,36,4,0.263,5,3,0.6,15,3,0.294,All D.J. Moore red zone receiving plays
Chris Olave,NOR,10,7,0.7,63,2,0.16399999999999998,2,2,1.0,9,1,0.095,All Chris Olave red zone receiving plays
Josh Oliver,BAL,10,4,0.4,24,2,0.14300000000000002,3,1,0.3333,1,1,0.10300000000000001,All Josh Oliver red zone receiving plays
Demarcus Robinson,BAL,10,4,0.4,28,2,0.14300000000000002,3,1,0.3333,6,1,0.10300000000000001,All Demarcus Robinson red zone receiving plays
Rex Burkhead,HOU,9,6,0.6667000000000001,30,1,0.136,5,3,0.6,15,1,0.2,All Rex Burkhead red zone receiving plays
Parris Campbell,IND,9,3,0.3333,16,2,0.14300000000000002,5,3,0.6,16,2,0.156,All Parris Campbell red zone receiving plays
DeAndre Carter,LAC,9,4,0.44439999999999996,19,0,0.094,3,2,0.6667000000000001,2,0,0.065,All DeAndre Carter red zone receiving plays
Leonard Fournette,TAM,9,9,1.0,52,3,0.094,4,4,1.0,14,2,0.08199999999999999,All Leonard Fournette red zone receiving plays
Tyreek Hill,MIA,9,4,0.44439999999999996,18,2,0.145,6,2,0.3333,5,2,0.19399999999999998,All Tyreek Hill red zone receiving plays
Hayden Hurst,CIN,9,6,0.6667000000000001,42,2,0.10300000000000001,4,2,0.5,3,1,0.114,All Hayden Hurst red zone receiving plays
Aaron Jones,GNB,9,9,1.0,34,3,0.122,5,5,1.0,22,3,0.156,All Aaron Jones red zone receiving plays
Dawson Knox,BUF,9,7,0.7778,52,5,0.11699999999999999,5,4,0.8,15,3,0.14300000000000002,All Dawson Knox red zone receiving plays
Christian McCaffrey,2TM,9,7,0.7778,54,3,,3,2,0.6667000000000001,12,2,,All Christian McCaffrey red zone receiving plays
Isaiah McKenzie,BUF,9,6,0.6667000000000001,50,4,0.11699999999999999,5,3,0.6,19,3,0.14300000000000002,All Isaiah McKenzie red zone receiving plays
