Rk,Player,Team,Age,Pos,Games,Games Started,Targets,Receptions,Catch Percentage,Yards,Yards per Reception,Touchdowns,First Down Receiving,Longest Reception,Yards per Target,Receptions per Game,Yards per Game,Fumbles
289,Brandon Bolden,LVR,32,RB,16,0,9,9,100.0%,57,6.3,1,2,18,6.3,0.6,3.6,0
290,Mike Boone,DEN,27,RB,9,0,15,9,60.0%,96,10.7,0,2,34,6.4,1.0,10.7,0
291,River Cracraft,MIA,28,WR,11,0,14,9,64.3%,102,11.3,2,8,22,7.3,0.8,9.3,0
292,Anthony Firkser,ATL,27,TE,11,1,13,9,69.2%,100,11.1,0,5,22,7.7,0.8,9.1,0
293,Jody Fortson,KAN,27,TE,13,1,13,9,69.2%,108,12.0,2,6,40,8.3,0.7,8.3,1
294,Khalil Herbert,CHI,24,RB,13,1,12,9,75.0%,57,6.3,1,2,25,4.8,0.7,4.4,0
295,Parker Hesse,ATL,27,TE,17,7,11,9,81.8%,89,9.9,0,6,22,8.1,0.5,5.2,0
296,Taysom Hill,NOR,32,TE,16,8,13,9,69.2%,77,8.6,2,5,30,5.9,0.6,4.8,2
297,DeSean Jackson,BAL,36,WR,7,1,17,9,52.9%,153,17.0,0,5,62,9.0,1.3,21.9,0
298,Marcus Johnson,NYG,28,WR,14,7,22,9,40.9%,99,11.0,0,6,18,4.5,0.6,7.1,0
299,Sony Michel,LAC,27,RB,10,0,13,9,69.2%,53,5.9,0,1,9,4.1,0.9,5.3,0
300,Jalen Nailor,MIN,23,WR,15,0,13,9,69.2%,179,19.9,1,7,47,13.8,0.6,11.9,0
301,Breshad Perriman,TAM,29,WR,11,3,19,9,47.4%,110,12.2,1,5,28,5.8,0.8,10.0,2
302,Craig Reynolds,DET,26,RB,9,0,10,9,90.0%,116,12.9,0,5,36,11.6,1.0,12.9,0
303,Brian Robinson Jr.,WAS,23,RB,12,9,12,9,75.0%,60,6.7,1,3,18,5.0,0.8,5.0,2
304,Eric Tomlinson,DEN,30,TE,17,12,13,9,69.2%,79,8.8,2,5,18,6.1,0.5,4.6,0
305,Kyren Williams,LAR,22,RB,10,0,12,9,75.0%,76,8.4,0,5,15,6.3,0.9,7.6,0
306,Reggie Gilliam,BUF,25,FB,15,4,10,8,80.0%,69,8.6,1,4,14,6.9,0.5,4.6,0
307,Tom Kennedy,DET,26,WR,7,1,15,8,53.3%,141,17.6,0,7,44,9.4,1.1,20.1,0
308,Marlon Mack,2TM,26,N/A,8,0,10,8,80.0%,99,12.4,1,2,66,9.9,1.0,12.4,0
309,Quintin Morris,BUF,23,TE,14,1,11,8,72.7%,84,10.5,1,6,26,7.6,0.6,6.0,1
310,Kyle Philips,TEN,23,WR,4,0,13,8,61.5%,78,9.8,0,3,21,6.0,2.0,19.5,2
311,James Proche,BAL,26,WR,15,0,17,8,47.1%,62,7.8,0,3,12,3.6,0.5,4.1,0
312,Jalen Reagor,MIN,23,WR,17,0,13,8,61.5%,104,13.0,1,5,38,8.0,0.5,6.1,4
313,Giovanni Ricci,CAR,26,TE,15,3,9,8,88.9%,100,12.5,0,3,32,11.1,0.5,6.7,0
